ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,-0.03659191363764564,-0.5977692162371802,0.5039611353805363,-0.03659191363764564,-0.03659191363764564,0.0,0.0,0.0,0.0,0.0,0.0,-0.03659191363764564
1971-01-01,-0.005292407370912256,-0.6031589294675148,0.5589191251698816,-0.005292407370912256,-0.005292407370912256,0.0,0.0,0.0,0.0,0.0,0.0,-0.005292407370912256
1972-01-01,0.02600709890911233,-0.505818618446069,0.585197739090369,0.02600709890911233,0.02600709890911233,0.0,0.0,0.0,0.0,0.0,0.0,0.02600709890911233
1973-01-01,0.05739235726113697,-0.5213704389203186,0.6432576124052923,0.05739235726113697,0.05739235726113697,0.0,0.0,0.0,0.0,0.0,0.0,0.05739235726113697
1974-01-01,0.08869186354106953,-0.44172903389039786,0.6343219897773693,0.08869186354106953,0.08869186354106953,0.0,0.0,0.0,0.0,0.0,0.0,0.08869186354106953
1975-01-01,0.11999136982100216,-0.44812304066084,0.6673562514138391,0.11999136982100216,0.11999136982100216,0.0,0.0,0.0,0.0,0.0,0.0,0.11999136982100216
1976-01-01,0.15129087609201675,-0.4149365646055361,0.7236700827188425,0.15129087609201675,0.15129087609201675,0.0,0.0,0.0,0.0,0.0,0.0,0.15129087609201675
1977-01-01,0.18267613443500674,-0.34620186203437964,0.7405652990354237,0.18267613443500674,0.18267613443500674,0.0,0.0,0.0,0.0,0.0,0.0,0.18267613443500674
1978-01-01,0.21397564070928546,-0.393490056067982,0.7444344344159836,0.21397564070928546,0.21397564070928546,0.0,0.0,0.0,0.0,0.0,0.0,0.21397564070928546
1979-01-01,0.24527514698356406,-0.35856847919642837,0.7323992377414917,0.24527514698356406,0.24527514698356406,0.0,0.0,0.0,0.0,0.0,0.0,0.24527514698356406
1980-01-01,0.2765746532764066,-0.24827898045545815,0.8315564553674178,0.2765746532764066,0.2765746532764066,0.0,0.0,0.0,0.0,0.0,0.0,0.2765746532764066
1981-01-01,0.30795991164128456,-0.2524112084549548,0.8908180432541208,0.30795991164128456,0.30795991164128456,0.0,0.0,0.0,0.0,0.0,0.0,0.30795991164128456
1982-01-01,0.3392594179343865,-0.23064848141016125,0.895056184571503,0.3392594179343865,0.3392594179343865,0.0,0.0,0.0,0.0,0.0,0.0,0.3392594179343865
1983-01-01,0.3705589242274882,-0.18215917205016469,0.9746305891683567,0.3705589242274882,0.3705589242274882,0.0,0.0,0.0,0.0,0.0,0.0,0.3705589242274882
